G3_Anchor,Lineage,BuddyID,ChildScreenName
0,Julia_Wayne,Julia_Wayne:mshannabrooks,87490820,mshannabrooks
0,jyangstar,jyangstar:phylogenomics,15154811,phylogenomics
1,jyangstar,jyangstar:HaleyOverland,13132422,HaleyOverland
2,jyangstar,jyangstar:BitchMedia,16314021,BitchMedia
3,jyangstar,jyangstar:potter_black,60789193,potter_black
0,jamieklingler,jamieklingler:JKCorden,215952307,JKCorden
1,jamieklingler,jamieklingler:ifindkarma,1688,ifindkarma
2,jamieklingler,jamieklingler:bethanyrutter,1675284572,bethanyrutter
0,PeterboroughKia,PeterboroughKia:kawarthanews,37715809,kawarthanews
0,SoroptimistPtbo,SoroptimistPtbo:kawarthanews,37715809,kawarthanews
0,kawarthanews,kawarthanews:rachaiello,204305619,rachaiello
0,canuckcarl,canuckcarl:DaniNierenberg,33098495,DaniNierenberg
0,BillChurchMedia,BillChurchMedia:kemettler,243020048,kemettler
1,BillChurchMedia,BillChurchMedia:KentuckyRAG,251950200,KentuckyRAG
2,BillChurchMedia,BillChurchMedia:pcheung630,25184985,pcheung630
3,BillChurchMedia,BillChurchMedia:kathrynvarn,157814573,kathrynvarn
0,CourtCBS,CourtCBS:PrestonTVNews,599110041,PrestonTVNews
1,CourtCBS,CourtCBS:edokeefe,16930125,edokeefe
0,LarrySabato,LarrySabato:ParksKMBZ,45932530,ParksKMBZ
1,LarrySabato,LarrySabato:pang,17542767,pang
2,LarrySabato,LarrySabato:Tapeterman,77201760,Tapeterman
3,LarrySabato,LarrySabato:JWRSinclair,2540382582,JWRSinclair
0,Fortunes_Wheel,Fortunes_Wheel:NikkiGlaser,8892822,NikkiGlaser
0,TelvinGriffin,TelvinGriffin:IWF,16667912,IWF
1,TelvinGriffin,TelvinGriffin:ifindkarma,1688,ifindkarma
0,MichelleMorenoo,MichelleMorenoo:amyoleary,16059332,amyoleary
1,MichelleMorenoo,MichelleMorenoo:JaredWeissNBA,33816689,JaredWeissNBA
2,MichelleMorenoo,MichelleMorenoo:edokeefe,16930125,edokeefe
3,MichelleMorenoo,MichelleMorenoo:JimLaPorta,2575205850,JimLaPorta
0,StephMurr_Jour,StephMurr_Jour:Melissa__Hanson,273716758,Melissa__Hanson
1,StephMurr_Jour,StephMurr_Jour:ShiaKapos,20271926,ShiaKapos
2,StephMurr_Jour,StephMurr_Jour:Samara_Abramson,2767227699,Samara_Abramson
3,StephMurr_Jour,StephMurr_Jour:edokeefe,16930125,edokeefe
0,By_CJewett,By_CJewett:RushMedical,36131454,RushMedical
1,By_CJewett,By_CJewett:LindyWa,108990654,LindyWa
2,By_CJewett,By_CJewett:ronjonesreports,16703345,ronjonesreports
3,By_CJewett,By_CJewett:edokeefe,16930125,edokeefe
0,MorrisonCSIS,MorrisonCSIS:DaniNierenberg,33098495,DaniNierenberg
1,MorrisonCSIS,MorrisonCSIS:IWF,16667912,IWF
2,MorrisonCSIS,MorrisonCSIS:PMIgov,2151598026,PMIgov
0,jmsanmarin,jmsanmarin:UNDP4Youth,3291441743,UNDP4Youth
0,Clowatkins,Clowatkins:rte,1245699895,rte
0,changinglanesCL,changinglanesCL:LordHumphreys,75414252,LordHumphreys
0,Dave_Matter,Dave_Matter:JaredWeissNBA,33816689,JaredWeissNBA
0,PMARTKDKA,PMARTKDKA:edokeefe,16930125,edokeefe
0,Battelle,Battelle:phylogenomics,15154811,phylogenomics
1,Battelle,Battelle:MSFT_Business,19795404,MSFT_Business
0,johnleemedia,johnleemedia:PrestonTVNews,599110041,PrestonTVNews
1,johnleemedia,johnleemedia:tenementmuseum,15383825,tenementmuseum
0,AnnaYukha,AnnaYukha:AmandaBecker,233985354,AmandaBecker
1,AnnaYukha,AnnaYukha:amir_anasr,493756786,amir_anasr
0,MikeTanier,MikeTanier:KentuckyRAG,251950200,KentuckyRAG
0,Gom1094,Gom1094:JohnNiyo,44144385,JohnNiyo
0,SportAlerts,SportAlerts:nelson_atkins,66701560,nelson_atkins
0,Eric_Edholm,Eric_Edholm:JaredWeissNBA,33816689,JaredWeissNBA
0,iamrichardray,iamrichardray:RushMedical,36131454,RushMedical
1,iamrichardray,iamrichardray:amyguth,5708702,amyguth
0,bkamisar,bkamisar:RonNehring,18144612,RonNehring
1,bkamisar,bkamisar:RonicaCleary,33777803,RonicaCleary
2,bkamisar,bkamisar:SarahEMcBride,272191896,SarahEMcBride
3,bkamisar,bkamisar:IWF,16667912,IWF
0,Evan_Rosenfeld,Evan_Rosenfeld:NEWSneil,301134166,NEWSneil
1,Evan_Rosenfeld,Evan_Rosenfeld:mattwilstein,86870268,mattwilstein
2,Evan_Rosenfeld,Evan_Rosenfeld:MelissaAFrancis,29515247,MelissaAFrancis
3,Evan_Rosenfeld,Evan_Rosenfeld:tracicarl,154281594,tracicarl
0,MAlexJohnson,MAlexJohnson:PatsKarvelas,95091601,PatsKarvelas
1,MAlexJohnson,MAlexJohnson:USCGouldLaw,114865774,USCGouldLaw
2,MAlexJohnson,MAlexJohnson:MaryEmilyOHara,1077017899,MaryEmilyOHara
0,Staceylee_,Staceylee_:TimWattsMP,14294400,TimWattsMP
0,ColvinKate,ColvinKate:ninaspringle,15955970,ninaspringle
0,DiggsandCo,DiggsandCo:ronjonesreports,16703345,ronjonesreports
0,longdrivesouth,longdrivesouth:jpbrammer,74087670,jpbrammer
1,longdrivesouth,longdrivesouth:ira,20926233,ira
2,longdrivesouth,longdrivesouth:USCGouldLaw,114865774,USCGouldLaw
3,longdrivesouth,longdrivesouth:votevets,16513335,votevets
0,TonyVRinna,TonyVRinna:akannampilly,200405440,akannampilly
0,LSPACharleston,LSPACharleston:ifindkarma,1688,ifindkarma
0,rklau,rklau:runvc,3249041383,runvc
0,_louhicky,_louhicky:crippledscholar,89115813,crippledscholar
0,OGTedBerg,OGTedBerg:bobivry,153474674,bobivry
0,AndreaHiland,AndreaHiland:robodellaz,1729936105,robodellaz
0,zoeskaidra,zoeskaidra:DubaiNameShame,308301944,DubaiNameShame
0,A_King_Made,A_King_Made:mowords,15528960,mowords
0,bsebti,bsebti:IRWorldwide,27855248,IRWorldwide
0,JP_Riseborough,JP_Riseborough:evans_edward,292218320,evans_edward
1,JP_Riseborough,JP_Riseborough:Lkhagva,16777778,Lkhagva
0,CoreySinclair,CoreySinclair:mitchneems,754730876,mitchneems
1,CoreySinclair,CoreySinclair:ninaspringle,15955970,ninaspringle
0,ryangrim,ryangrim:TMannWSJ,19195460,TMannWSJ
0,blakehounshell,blakehounshell:kemettler,243020048,kemettler
1,blakehounshell,blakehounshell:ShiaKapos,20271926,ShiaKapos
2,blakehounshell,blakehounshell:MKarnitschnig,531355345,MKarnitschnig
3,blakehounshell,blakehounshell:SafirAustralia,3160803576,SafirAustralia
0,QuintForgey,QuintForgey:ChadLivengood,23545095,ChadLivengood
1,QuintForgey,QuintForgey:pauldemko,16067683,pauldemko
2,QuintForgey,QuintForgey:edokeefe,16930125,edokeefe
3,QuintForgey,QuintForgey:POLITICOPro,207660339,POLITICOPro
0,WSAZLeanneS,WSAZLeanneS:WSAZfabrizio,19495594,WSAZfabrizio
0,WSAZAmber,WSAZAmber:WSAZfabrizio,19495594,WSAZfabrizio
